DEPARTMENT;CODE;DESCRIPTION;RATE
"BLOOD BANK";"766A";"THERAPEUTIC PHLEBOTOMY";"10"
"BLOOD BANK";"767A";"CRYO(HEMOPHILIA)";"30"
"BLOOD BANK";"768A";"FFP(HEMOPHILIA)";"30"
"BLOOD BANK";"769A";"SCREENING TRANSFUSION TRANSMITTED VIRUS";"10"
"BIOCHEMISTRY";"11A";"BLOOD GLUCOSE FASTING, SUGAR";"5"
"BIOCHEMISTRY";"11B";"GLUCOSE FASTING AND P.P.";"9"
"BIOCHEMISTRY";"11C";"GLUCOSE TOLERANCE TEST (GTT)";"29"
"BIOCHEMISTRY";"11D";"EXTENDED GTT";"35"
"BIOCHEMISTRY";"11E";"GLUCOSE (GLUCO METER)";"3"
"BIOCHEMISTRY";"12A";"ELECTROLYTES(CHLORIDE OR BICARBONATE) EACH";"7"
"BIOCHEMISTRY";"12B";"ELECTROLYTES (Na&K) BOTH";"15"
"BIOCHEMISTRY";"12C";"ELECTROLYTES (Na,K,Cl)ALL";"20"
"BIOCHEMISTRY";"12D";"CHLORIDE";"8"
"BIOCHEMISTRY";"13A";"BLOOD UREA";"7"
"BIOCHEMISTRY";"14A";"SERUM CREATININE";"7"
"BIOCHEMISTRY";"15A";"SERUM URIC ACID";"9"
"BIOCHEMISTRY";"15B";"SERUM LACTIC ACID";"31"
"BIOCHEMISTRY";"16A";"SERUM CHOLESTEROL (TOTAL)";"9"
"BIOCHEMISTRY";"17A";"SERUM TRIGLYCERIDES";"12"
"BIOCHEMISTRY";"18A";"LIPID PROFILE";"37"
"BIOCHEMISTRY";"18B";"LPA";"60"
"BIOCHEMISTRY";"18C";"ELISA HOMOCYSTEINE";"60"
"BIOCHEMISTRY";"19A";"SERUM CALCIUM";"7"
"BIOCHEMISTRY";"20A";"SERUM PHOSPHORUS";"6"
"BIOCHEMISTRY";"21A";"SERUM MAGNESIUM";"10"
"BIOCHEMISTRY";"22A";"SERUM FLUORIDE";"7"
"BIOCHEMISTRY";"22B";"URINE FLUORIDE";"7"
"BIOCHEMISTRY";"22C";"FLUORIDE WATER";"7"
"BIOCHEMISTRY";"22D";"FLUORIDE(SERUM & URINE & WATER) ALL";"20"
"BIOCHEMISTRY";"22E";"BONE FLUORIDE";"20"
"BIOCHEMISTRY";"23A";"SERUM OSMOLALITY";"21"
"BIOCHEMISTRY";"23B";"URINE OSMOLALITY";"21"
"BIOCHEMISTRY";"23C";"OSMOLALITY(SERUM & URINE) BOTH";"37"
"BIOCHEMISTRY";"24A";"LIVER FUNCTION TEST (6 TESTS)";"38"
"BIOCHEMISTRY";"25A";"SERUM TOTAL PROTEINS & ALBUMIN";"9"
"BIOCHEMISTRY";"26A";"SERUM BILIRUBIN (TOTAL)";"6"
"BIOCHEMISTRY";"26B";"SERUM BILIRUBIN (CONJUGATED)";"6"
"BIOCHEMISTRY";"26C";"BILIRUBIN (TOTAL & CONJUGATED)";"11"
"BIOCHEMISTRY";"27A";"ASPARTATE AMINOTRANSFERASE(SGOT)";"8"
"BIOCHEMISTRY";"28A";"ALANINE AMINOTRANSFERACE(SGPT)";"8"
"BIOCHEMISTRY";"29A";"ALKALINE PHOSPHATASE";"8"
"BIOCHEMISTRY";"29B";"ALP ISOENZYMES";"40"
"BIOCHEMISTRY";"30A";"SERUM GGTP (GAMMA GT)";"15"
"BIOCHEMISTRY";"31A";"SERUM AMYLASE";"16"
"BIOCHEMISTRY";"31B";"SERUM LIPASE";"25"
"BIOCHEMISTRY";"31C";"G_6 PD ASSAY";"22"
"BIOCHEMISTRY";"32A";"LACTATE DEHYDROGENASE (LDH)";"13"
"BIOCHEMISTRY";"32B";"LDH Isoenzymes";"40"
"BIOCHEMISTRY";"33A";"CREATININE PHOSPHOKINASE (CPK)";"16"
"BIOCHEMISTRY";"33B";"CPK-NAC & CPK-MB";"30"
"BIOCHEMISTRY";"33C";"CK ISOENZYMES - CK MASS";"45"
"BIOCHEMISTRY";"34A";"ACID PHOSPHATASE (TOTAL & PROSTATIC) BOTH";"18"
"BIOCHEMISTRY";"34B";"ACID PHOSPHATASE (TOTAL)";"10"
"BIOCHEMISTRY";"35A";"STONE ANALYSIS";"21"
"BIOCHEMISTRY";"36A";"AMMONIUM LOAD TEST";"21"
"BIOCHEMISTRY";"37A";"SPECTRAL ANALYSIS FOR (PORPHYRINS)";"13"
"BIOCHEMISTRY";"38A";"SPECTRA FOR HAEMOGLOBIN";"13"
"BIOCHEMISTRY";"39A";"CSF/PLEURAL/ASCITIC/SYNO.FLD,(PROTEIN,SUG&CHL";"16"
"BIOCHEMISTRY";"39B";"FLUID ANALYSIS (URIC ACID)";"9"
"BIOCHEMISTRY";"39C";"FLUID ANALYSIS (LDH)";"13"
"BIOCHEMISTRY";"39D";"FLUID ANALYSIS (AMYLASE)";"16"
"BIOCHEMISTRY";"40A";"PROTHROMBIN TIME (PT)";"10"
"BIOCHEMISTRY";"41A";"ACTIVATED PARTIAL THROMBO PLASTIN TINE (APTT)";"18"
"BIOCHEMISTRY";"42A";"THROMBIN TIME (TT)";"30"
"BIOCHEMISTRY";"43A";"PLASMA FIBRINOGEN";"20"
"BIOCHEMISTRY";"44A";"FIBRINOGEN DEGRADATION PRODUCTS (FDP) QUANTIT";"50"
"BIOCHEMISTRY";"45A";"EUGLOBULIN CLOTLYSIS TIME";"16"
"BIOCHEMISTRY";"46A";"UREA CLOTLYSIS";"8"
"BIOCHEMISTRY";"47A";"LUPUS INHIBITORS";"50"
"BIOCHEMISTRY";"48A";"COAGULATION FACTOR VIII";"150"
"BIOCHEMISTRY";"48B";"COAGULATION FACTOR IX";"150"
"BIOCHEMISTRY";"48C";"COAGULATION FACTOR XIII";"10"
"BIOCHEMISTRY";"48D";"PROTEIN C";"100"
"BIOCHEMISTRY";"48E";"PROTEIN S";"100"
"BIOCHEMISTRY";"48F";"PROTEIN C AND PROTEIN S BOTH";"180"
"BIOCHEMISTRY";"48G";"AT III";"100"
"BIOCHEMISTRY";"48H";"D-DIMER";"50"
"BIOCHEMISTRY";"48I";"PROTEIN C+PROTEIN S+ AT III";"260"
"BIOCHEMISTRY";"48J";"FACTOR VIII + FACTOR IX";"260"
"BIOCHEMISTRY";"49A";"MIXING EXPERIMENT";"50"
"BIOCHEMISTRY";"49B";"COMPLETE COAGULATION PROFINE SCREEN(PT,APTT,F";"60"
"BIOCHEMISTRY";"50A";"SERUM FRUCTOSAMINE";"8"
"BIOCHEMISTRY";"51A";"GLYCOSYLATED HEMOGLOBIN A1";"28"
"BIOCHEMISTRY";"52A";"GLYCOSYLATED Hb A1C";"28"
"BIOCHEMISTRY";"52B";"PROTEIN C,PROTEIN S,AT III,HOMOCYSTEINE,PT,AP";"320"
"BIOCHEMISTRY";"53A";"COMPLEMENT COMPONENT (C3 OR C4) EACH";"40"
"BIOCHEMISTRY";"53B";"COMPLEMENT COMPONENT (C3 & C4) BOTH";"70"
"BIOCHEMISTRY";"54A";"SERUM MYOGLOBIN (QUALITATIVE,LATEX)";"35"
"BIOCHEMISTRY";"55A";"SERUM IMMUNOGLOBULINS (EACH) IgG OR IgA OR Ig";"30"
"BIOCHEMISTRY";"55B";"SERUM IMMUNOGLOBULINS (ALL THREE)";"80"
"BIOCHEMISTRY";"55C";"IMMUNOGLOBULIN IgG SUBCLASS(EACH)";"40"
"BIOCHEMISTRY";"55D";"IMMUNOGLOBULIN E (IgE)ELISA";"35"
"BIOCHEMISTRY";"55E";"HEMOGLOBIN ELECTROPHORESIS";"45"
"BIOCHEMISTRY";"55F";"LIPOPROTEIN ELECTROPHORESIS";"45"
"BIOCHEMISTRY";"56A";"SYNOVIAL/CSF/URINE FLUID/ELECTORP.";"50"
"BIOCHEMISTRY";"56B";"SERUM PROTEIN ELECTROPHORESIS";"35"
"BIOCHEMISTRY";"56C";"KAPPA AND LAMBDA QUANTITATION";"70"
"BIOCHEMISTRY";"56D";"URINE MICRO ALBUMINURIA";"22"
"BIOCHEMISTRY";"57A";"SERUM IMMUNOELECTROPHORESIS";"150"
"BIOCHEMISTRY";"57B";"IMMUNOFOCUSSING BENCE JONES PROTEINS URINE";"210"
"BIOCHEMISTRY";"57C";"SERUM IMMUNOFIXATION ELECTROPHORESIS(IFE)";"200"
"BIOCHEMISTRY";"58A";"SERUM CRYOGLOBULIN";"5"
"BIOCHEMISTRY";"59A";"PARAPROTEIN (MONOCLONAL IMMUNOGLOBULIN) PROFI";"320"
"BIOCHEMISTRY";"60A";"HLA B-27";"60"
"BIOCHEMISTRY";"61A";"MYOGLOBIN (QUANTITATIVE) ELISA";"45"
"BIOCHEMISTRY";"61B";"TROPONIN-T (TNT) ELISA";"60"
"BIOCHEMISTRY";"61C";"APOLIPOPROTEIN A1 ELISA";"25"
"BIOCHEMISTRY";"61D";"APOLIPOPROTEIN B ELISA";"25"
"BIOCHEMISTRY";"61E";"APOLIPOPROTEIN A1 & B (BOTH) ELISA";"45"
"BIOCHEMISTRY";"61F";"TROP T (QUALITATIVE)";"65"
"BIOCHEMISTRY";"61G";"N/C-TELOPEPTIDE";"45"
"BIOCHEMISTRY";"61H";"N/C-TELOPEPTIDE + BONE ALP";"50"
"BIOCHEMISTRY";"62A";"INSULIN ELISA";"40"
"BIOCHEMISTRY";"62B";"GTT WITH INSULIN 4 POINT CURVE ELISA";"125"
"BIOCHEMISTRY";"62C";"C-PEPTIDE ELISA";"50"
"BIOCHEMISTRY";"62D";"GTT WITH 'C' PEPTIDE 4 POINT CURVE ELISA";"140"
"BIOCHEMISTRY";"63A";"ALPHAFETOPROTEIN (AFP) ELISA";"38"
"BIOCHEMISTRY";"64A";"BETA HUMAN CHORIONIC GONADOTROPIN (B-HCG) EL";"38"
"BIOCHEMISTRY";"65A";"CARCINO EMBRYONIC ANTIGEN (CEA) ELISA";"38"
"BIOCHEMISTRY";"66A";"FERRITIN ELISA";"35"
"BIOCHEMISTRY";"66B";"HEPTOGLOBIN";"35"
"BIOCHEMISTRY";"66C";"TRANSFERRIN";"35"
"BIOCHEMISTRY";"66D";"IRON";"7"
"BIOCHEMISTRY";"66E";"UIBC / TIBC";"7"
"BIOCHEMISTRY";"66F";"IRON/UIBC/TIBC,FERRITIN";"45"
"BIOCHEMISTRY";"67A";"PROSTATE SPECIFIC ANTIGEN (PSA) ELISA";"45"
"BIOCHEMISTRY";"67B";"FREE PSA";"45"
"BIOCHEMISTRY";"67C";"TOTAL AND FREE PSA BOTH";"80"
"BIOCHEMISTRY";"67D";"Urinary NMP22 CA bladder Elisa";"150"
"BIOCHEMISTRY";"68A";"NEURON SPECIFIC ENOLASE (NSE) ELISA";"50"
"BIOCHEMISTRY";"69A";"BETA-2 MICROGLOBULIN (B2M) ELISA";"35"
"BIOCHEMISTRY";"70A";"CA-125 ELISA";"60"
"BIOCHEMISTRY";"71A";"CA-19-9 ELISA";"60"
"BIOCHEMISTRY";"71B";"CYFRA-21 ELISA";"60"
"BIOCHEMISTRY";"71C";"BONE ALP";"15"
"BIOCHEMISTRY";"72A";"CA-15-3 ELISA";"60"
"BIOCHEMISTRY";"72B";"FSH ELISA";"35"
"BIOCHEMISTRY";"72C";"LH ELISA";"35"
"BIOCHEMISTRY";"72D";"PROLACTIN ELISA";"35"
"BIOCHEMISTRY";"72E";"FSH,LH,PROLACTIN (ALL THREE) ELISA";"90"
"BIOCHEMISTRY";"72F";"CORTISOL";"35"
"BIOCHEMISTRY";"72G";"PROGESTERONE";"35"
"BIOCHEMISTRY";"72H";"TESTOSTERON";"35"
"BIOCHEMISTRY";"72I";"ESTRADIOL";"35"
"BIOCHEMISTRY";"72J";"ESTRADIOL AND PROGESTERON (BOTH)";"65"
"BIOCHEMISTRY";"73A";"URINARY PROTEINS (24 HOURS)";"8"
"BIOCHEMISTRY";"73B";"URINARY CREATININE CLEARANCE";"15"
"BIOCHEMISTRY";"73C";"URINARY ELECTROLYTES (Na & K) BOTH";"15"
"BIOCHEMISTRY";"73D";"URINARY CALCIUM (24 HOURS)";"7"
"BIOCHEMISTRY";"73E";"URINARY PHOSPHORUS CLEARANCE";"15"
"BIOCHEMISTRY";"73F";"URINARY PHOSPHORUS";"6"
"BIOCHEMISTRY";"73G";"URINARY URIC ACID";"9"
"BIOCHEMISTRY";"73H";"URINARY AMINDACIDS (CHROMATOGRAPHY)";"30"
"BIOCHEMISTRY";"73I";"VMA (QUANTITATIVE)";"25"
"BIOCHEMISTRY";"74A";"AMIND ACID (INDIVIDUAL) SPOT TEST";"6"
"BIOCHEMISTRY";"74B";"URINE TEST FOR CHYLE SPOT TEST";"6"
"BIOCHEMISTRY";"74C";"URINARY MUCOPOLYSACCHARIDES (SPOT TEST)";"6"
"BIOCHEMISTRY";"74D";"URINARY HOMOGENTISIC ACID (SPOT)";"6"
"BIOCHEMISTRY";"74E";"URINARY PHENYLKETONURIA/ALKPTONURIA (SPOT)";"6"
"BIOCHEMISTRY";"74F";"URINARY VMA (SPOT TEST) QUALITATIVE";"6"
"BIOCHEMISTRY";"74G";"5 OH INDOLE ACETIC ACID (SPOT)";"6"
"BIOCHEMISTRY";"74H";"URINARY PORPHOBILINOGEN (SPOT)";"6"
"BIOCHEMISTRY";"74I";"VMA QUANTITATIVE MANUAL METHOD";"35"
"BIOCHEMISTRY";"75A";"VMA (COLUMN - METHOD QUANTITATIVE)";"65"
"BIOCHEMISTRY";"75B";"METANEPHRINE (COLUMN - METHOD)";"65"
"BIOCHEMISTRY";"75C";"5 HIAA (COLUMN -METHOD)";"65"
"BIOCHEMISTRY";"75D";"VMA (QUANTI) & METANEPHRINE BOTH";"120"
"BIOCHEMISTRY";"75E";"VMA (QUANTI) and METANEPHRINE BOTH and 5HIAA";"180"
"BIOCHEMISTRY";"76A";"ALA (COLUMN - METHOD)";"70"
"BIOCHEMISTRY";"76B";"PBG(COLUMN METHOD)";"60"
"BIOCHEMISTRY";"76C";"PORPHYRIA (COLUMN METHOD)";"100"
"BIOCHEMISTRY";"76D";"ALA,PBG,PORTHYRIA (ALL)";"180"
"BIOCHEMISTRY";"77A";"OSTEOCLASTIC BONE PROFILE(ALP,CA,P,B-ALP,N/C-";"80"
"BIOCHEMISTRY";"77B";"OSTEOBLASTIC BONE PROFILE(ALP,CA,P,B-ALP,OSTE";"80"
"BIOCHEMISTRY";"77C";"BONE PROFILE BOTH";"150"
"BIOCHEMISTRY";"78A";"BSR/BU/SC";"19"
"BIOCHEMISTRY";"78B";"BSR/BU/SC/SE";"35"
"BIOCHEMISTRY";"78C";"BU/SC/SE";"30"
"BIOCHEMISTRY";"78D";"PT,APTT (40A+41A)";"28"
"BIOCHEMISTRY";"78E";"CARDIAC PANEL I(CK,CK-MB,LDH)";"40"
"BIOCHEMISTRY";"78F";"CARDIAC PANEL II(CK-MB MASS,MYOGLOBIN,TROP-T)";"100"
"BIOCHEMISTRY";"78G";"THYROID RIA T3";"15"
"BIOCHEMISTRY";"78H";"THYROID RIA T4";"15"
"BIOCHEMISTRY";"78I";"THYROID RIA TSH";"20"
"BIOCHEMISTRY";"78J";"THYROID RIA T3 T4 TSH";"50"
"BIOCHEMISTRY";"UNANI";"BS(F AND PP)/LP/BU/SC/UA/SP/AP";"92"
"CARDIOLOGY";"3000";"CARDIAC HEMODYNAMICS";"350"
"CARDIOLOGY";"3001";"CORONARY ANGIOGRAM (GW)";"600"
"CARDIOLOGY";"3002";"CORONARY ANGIOGRAM (SPR)";"900"
"CARDIOLOGY";"3003";"CORONARY ANGIOGRAM (PR)";"1000"
"CARDIOLOGY";"3004";"RHC+LHC CATH (GW)";"600"
"CARDIOLOGY";"3005";"RHC+LHC CATH (SPR)";"900"
"CARDIOLOGY";"3006";"RHC+LHC CATH (PR)";"1000"
"CARDIOLOGY";"3007";"EXTRA CHARGES FOR CREDIT";"100"
"CARDIOLOGY";"3008";"PERCUTANEOUSBALLOONMITRALVALVULOPLASTY(PBMV)";"2500"
"CARDIOLOGY";"3009";"PERCUTANEOUSBALLOONMITRALVALVULOPLASTY(PBMV)";"4000"
"CARDIOLOGY";"3010";"PERCUTANEOUSBALLOONMITRALVALVULOPLASTY (PBMV)";"4500"
"CARDIOLOGY";"3011";"IABP (GW)";"3500"
"CARDIOLOGY";"3012";"IABP (SPR)";"4000"
"CARDIOLOGY";"3013";"IABP (PR)";"4500"
"CARDIOLOGY";"3014";"EMERGENCY IABP (GW)";"3850"
"CARDIOLOGY";"3015";"EMERGENCY IABP (SPR)";"4400"
"CARDIOLOGY";"3016";"EMERGENCY IABP (PR)";"4950"
"CARDIOLOGY";"3017";"PTCA -IVD (GW)";"3000"
"CARDIOLOGY";"3018";"PTCA -IVD (SPR)";"4500"
"CARDIOLOGY";"3019";"PTCA -IVD (PR)";"5500"
"CARDIOLOGY";"3020";"EXTRA CHARGES FOR CREDIT PATIENTS";"500"
"CARDIOLOGY";"3021";"EXTRA GUIDE WIRE";"500"
"CARDIOLOGY";"3022";"EXTRA GUIDE CATHETER";"500"
"CARDIOLOGY";"3023";"EXTRA BALLOON";"2000"
"CARDIOLOGY";"3024";"NON-IONIC CONTRAST 50ML";"100"
"CARDIOLOGY";"3025";"NON-IONIC CONTRAST 100ML (MORE THAN 50 -100M";"200"
"CARDIOLOGY";"3026";"NON-IONIC CONTRAST 150ML (MORE THAN 100-150";"300"
"CARDIOLOGY";"3027";"NON-IONIC CONTRAST 200ML (MORE THAN 150-200ML";"400"
"CARDIOLOGY";"3028";"CINE FLUROSCOPY";"50"
"CARDIOLOGY";"3029";"PERICARDIAL TAP";"450"
"CARDIOLOGY";"3030";"TEMPORARY PACEMAKER";"300"
"CARDIOLOGY";"3031";"PERMANENT PACEMAKER (COST OF PACEMAKER EXTRA";"500"
"CARDIOLOGY";"3032";"ELECTRO PHYSIOLOGICAL STUDY (EPS)";"1500"
"CARDIOLOGY";"3033";"RADIO FREQUENCY ABLATION";"3000"
"CARDIOLOGY";"3034";"PBAV";"2500"
"CARDIOLOGY";"3035";"PBPV";"2500"
"CARDIOLOGY";"3036";"PDA CLOSER + COST OF DEVICE EXTRA";"1000"
"CARDIOLOGY";"3037";"ATHERECTOMY";"7000"
"CARDIOLOGY";"3038";"ROTOBLATOR";"7500"
"CARDIOLOGY";"3039";"PERIPHERAL ANGIOPLASTY (WITHOUT STENT)";"2500"
"CARDIOLOGY";"3040";"VISCERAL ANGIOPLASTY";"500"
"CARDIOLOGY";"3041";"RENAL ANGIOGRAPHY";"500"
"CARDIOLOGY";"3042";"RENAL ANGIOPLASTY";"2500"
"CARDIOLOGY";"3043";"HOLTER";"80"
"CARDIOLOGY";"3044";"TREADMILL TEST";"60"
"CARDIOLOGY";"3045";"STRESS THALLIUM (COST OF THALLIUM EXTRA) *";"60"
"CARDIOLOGY";"3046";"TRANSESOPHAGEAL ECHO";"100"
"CARDIOLOGY";"3047";"STRESS ECHO";"100"
"CARDIOLOGY";"3048";"DOBUTAMINE ECHO";"150"
"CARDIOLOGY";"3049";"LATE POTENTIAL";"50"
"CARDIOLOGY";"3050";"PHONOCARDIOGRAM";"50"
"CARDIOLOGY";"3051";"VECTOR CARDIOGRAM";"50"
"CARDIOLOGY";"3052";"APEX CARDIOGRAM";"50"
"CARDIOLOGY";"3053";"KINETOCARDIOGRAPHY";"50"
"CARDIOLOGY";"3054";"BEDSIDE HAEMODYNAMIC MONITORING";"300"
"CARDIOLOGY";"3055";"ECG";"5"
"CARDIOLOGY";"3056";"2D ECHO";"50"
"CARDIOLOGY";"3057";"BEDSIDE ECHO";"60"
"CARDIOLOGY";"3058";"TRANSTHORACIC PACING";"100"
"CARDIOLOGY";"3059";"VENTILATOR TREATMENT (PER DAY)";"50"
"CARDIOLOGY";"3060";"ENDO MYO CARDIAL BIOPSY (HISTOPATHOLOGY CHGS";"700"
"CARDIOLOGY";"3061";"BALLOON ATRIAL SEPTOSTOMY";"1000"
"CARDIOLOGY";"3062";"ELECTIVE DC";"50"
"CARDIOLOGY";"3063";"PERIPHERAL ANGIOGRAPHY";"500"
"CARDIOLOGY";"3064";"I A B P BALLOON";"2500"
"CARDIOLOGY";"3065";"EXTRA BALLOON FOR PTCA";"2500"
"CARDIOLOGY";"3066";"AORTOGRAM";"500"
"CARDIOLOGY";"3067";"RENAL ANGIOGRAPHY";"500"
"CARDIOLOGY";"3068";"ASD DEVICE CLOSER";"1000"
"CARDIOLOGY";"3069";"EVENING CLINIC CONSULTATION";"10"
"CARDIOLOGY";"3070";"INTERVENTION CLINIC";"10"
"CARDIOLOGY";"3071";"PROSTHETIC VALVE CLINIC";"10"
"CARDIOLOGY";"3072";"FACE MAKER FOLLOW UP CLINIC(SINGLE CHAMBER)";"20"
"CARDIOLOGY";"3073";"PACE MAKER FOLLOWUP CLINIC (DUAL";"20"
"CARDIOLOGY";"";"CHAMBER";""
"CARDIOLOGY";"3074";"CARDIAC CONSULTATIONS TO OTHER DEPARTMENTS";"10"
"CARDIOLOGY";"3075";"MASTER CARDIAC CHECK UP (MINIMUM OF 50 MEMBE";"75"
"CARDIOLOGY";"3076";"HIS BUNDLE ELECTROGRAM";"100"
"CARDIOLOGY";"3077";"SUPRAVENTRICULAR MAPPING";"500"
"CARDIOLOGY";"3078";"VENTRICULAR MAPPING";"1000"
"CARDIOLOGY";"3079";"RF ABLATION WITHOUT MAPPING";"1500"
"CARDIOLOGY";"3080";"RF ABALATION OF VENTRICLE";"1000"
"CARDIOLOGY";"3081";"RF ABLATION OF ATRIUM";"500"
"CARDIOLOGY";"3082";"VALVULAR FLUORO";"10"
"CARDIOLOGY";"3083";"ARTERIAL SHEATH";"60"
"CARDIOLOGY";"3084";"WEDGE PRESSURE CATHETER";"200"
"CARDIOLOGY";"3085";"HOLTER SCANNING";"40"
"CARDIOLOGY";"3086";"ABBREVIATED GXT";"30"
"CARDIOLOGY";"3087";"M-MODE ECHO";"25"
"CARDIOLOGY";"3088";"NON IONIC CONTRAST 50ML";"150"
"CARDIOLOGY";"3089";"NON IONIC CONTRAST 25ML";"75"
"CARDIOLOGY";"3090";"TRANSCATHETER VALVULOPLASTY";"3000"
"CARDIOLOGY";"3091";"PERCUTANEOUS VALVULOPLASTY";"2000"
"CARDIOLOGY";"3092";"BAIL-OUT VALVULOPLASTY";"1000"
"CARDIOLOGY";"3093";"INTERVENTIONAL CORONARY ANGIOPLASTY";"3000"
"CARDIOLOGY";"3094";"ADHOC CORONARY ANGIOPLASTY";"2000"
"CARDIOLOGY";"3095";"PERCUTANEOUS CARDIAC PUS ASPIRATION BY NEEDL";"100"
"CARDIOLOGY";"3096";"PERCUTANEOUS CARDIAC PUS ASPIRATION BY CATHET";"200"
"CARDIOLOGY";"3097";"EXTERNAL PACING";"200"
"CARDIOLOGY";"3098";"ABBREVIATED PERIPHERAL ANGIO PLASTY";"1500"
"CARDIOLOGY";"3099";"BAIL - OUT IAB";"1000"
"CARDIOLOGY";"3100";"2D ECHO WITH CASSETTE";"55"
"CARDIOLOGY";"3101";"ABANDONED PTCA";"1200"
"CARDIOLOGY";"3102";"ABANDONED PBMV";"500"
"CARDIOLOGY";"3103";"RIGHT HEART STUDY/LEFT HEART STUDY";"350"
"CARDIOLOGY";"3104";"EPTIFIBATIDE";"2200"
"CARDIOLOGY";"3105";"GUIDE WIRE";"75"
"CARDIOLOGY";"4001";"RASHKIND PROCEDURE";"500"
